[epoch 1] train_loss: 2.948  val_accuracy: 0.237  run_time 445.914
[epoch 2] train_loss: 2.345  val_accuracy: 0.388  run_time 454.093
[epoch 3] train_loss: 2.048  val_accuracy: 0.469  run_time 451.296
[epoch 4] train_loss: 1.795  val_accuracy: 0.541  run_time 447.631
[epoch 5] train_loss: 1.628  val_accuracy: 0.524  run_time 449.502
[epoch 6] train_loss: 1.493  val_accuracy: 0.538  run_time 440.765
[epoch 7] train_loss: 1.395  val_accuracy: 0.655  run_time 443.549
[epoch 8] train_loss: 1.288  val_accuracy: 0.621  run_time 445.749
[epoch 9] train_loss: 1.206  val_accuracy: 0.671  run_time 448.644
[epoch 10] train_loss: 1.152  val_accuracy: 0.695  run_time 451.794
[epoch 11] train_loss: 1.089  val_accuracy: 0.679  run_time 441.210
[epoch 12] train_loss: 1.027  val_accuracy: 0.732  run_time 438.393
[epoch 13] train_loss: 0.986  val_accuracy: 0.680  run_time 446.921
[epoch 14] train_loss: 0.939  val_accuracy: 0.695  run_time 444.225
[epoch 15] train_loss: 0.898  val_accuracy: 0.757  run_time 455.390
[epoch 16] train_loss: 0.834  val_accuracy: 0.755  run_time 456.955
[epoch 17] train_loss: 0.815  val_accuracy: 0.772  run_time 457.451
[epoch 18] train_loss: 0.782  val_accuracy: 0.736  run_time 465.015
[epoch 19] train_loss: 0.765  val_accuracy: 0.695  run_time 445.997
[epoch 20] train_loss: 0.739  val_accuracy: 0.788  run_time 457.487
[epoch 21] train_loss: 0.697  val_accuracy: 0.807  run_time 441.974
[epoch 22] train_loss: 0.694  val_accuracy: 0.770  run_time 453.360
[epoch 23] train_loss: 0.663  val_accuracy: 0.800  run_time 435.458
[epoch 24] train_loss: 0.624  val_accuracy: 0.816  run_time 444.613
[epoch 25] train_loss: 0.637  val_accuracy: 0.829  run_time 436.361
[epoch 26] train_loss: 0.605  val_accuracy: 0.800  run_time 440.104
[epoch 27] train_loss: 0.605  val_accuracy: 0.788  run_time 445.475
[epoch 28] train_loss: 0.573  val_accuracy: 0.804  run_time 443.970
[epoch 29] train_loss: 0.535  val_accuracy: 0.775  run_time 443.185
[epoch 30] train_loss: 0.520  val_accuracy: 0.813  run_time 437.941
[epoch 31] train_loss: 0.511  val_accuracy: 0.771  run_time 437.082
[epoch 32] train_loss: 0.518  val_accuracy: 0.818  run_time 449.102
[epoch 33] train_loss: 0.500  val_accuracy: 0.846  run_time 450.734
